 We force_max Ec El
8 50 4.560853334740965 40.0 0.8
9 50 4.985892340814856 50.0 1.0
10 50 5.340707511102679 60.0 1.2
11 50 5.673839532095058 70.0 1.4
12 50 5.982824409554015 80.0 1.6
13 50 6.290823689317726 90.0 1.8
14 50 6.61804212413868 100.0 2.0
15 50 8.807547404122907 200.0 4.0
16 50 10.55052764827697 300.0 6.0
17 50 12.067732100392922 400.0 8.0
18 50 13.233299934788382 500.0 10.0
19 50 14.338081031329514 600.0 12.0
20 50 15.35292633817973 700.0 14.0
21 50 16.29348714673942 800.0 16.0
22 50 17.15280020929168 900.0 18.0
23 50 17.92385792622333 1000.0 20.0
24 50 24.19366374468997 2000.0 40.0
25 50 28.767411161278943 3000.0 60.0
26 50 32.38743018409976 4000.0 80.0
27 50 35.475950865794914 5000.0 100.0
28 50 38.4239450281022 6000.0 120.0
29 50 40.796007641188105 7000.0 140.0
30 50 43.081759000106985 8000.0 160.0
31 50 45.27476068791509 9000.0 180.0
0 60 3.1593334121041794 0.1 0.0016666666666666668
1 60 3.165493397699467 0.5 0.008333333333333333
2 60 3.14923103572794 1.0 0.016666666666666666
3 60 3.215512480733081 5.0 0.08333333333333333
4 60 7.262130217980597 150.0 2.5
5 60 3.3199858364289248 10.0 0.16666666666666666
6 60 3.604577170930592 20.0 0.3333333333333333
7 60 3.9330276028706135 30.0 0.5
8 60 4.278233195629771 40.0 0.6666666666666666
9 60 4.649803526736694 50.0 0.8333333333333334
10 60 5.001415504514956 60.0 1.0
11 60 5.278861255726092 70.0 1.1666666666666667
12 60 5.578236555656429 80.0 1.3333333333333333
13 60 5.874408663077205 90.0 1.5
14 60 6.107256118578559 100.0 1.6666666666666667
15 60 8.142268959833299 200.0 3.3333333333333335
16 60 9.68487719254422 300.0 5.0
17 60 11.076639697998075 400.0 6.666666666666667
18 60 12.377135856872346 500.0 8.333333333333334
19 60 13.64042570275115 600.0 10.0
20 60 14.13236215238974 700.0 11.666666666666666
21 60 14.995696453538594 800.0 13.333333333333334
22 60 15.812842443495818 900.0 15.0
23 60 16.57882507149523 1000.0 16.666666666666668
24 60 22.377441271808173 2000.0 33.333333333333336
25 60 26.5929781340494 3000.0 50.0
26 60 29.97892509623236 4000.0 66.66666666666667
27 60 33.07481065670521 5000.0 83.33333333333333
28 60 35.472693465412135 6000.0 100.0
29 60 37.81607764956055 7000.0 116.66666666666667
30 60 39.98286096027875 8000.0 133.33333333333334
31 60 41.97110620529635 9000.0 150.0
32 60 43.80946495601391 10000.0 166.66666666666666
0 80 3.125576691042092 0.1 0.00125
